"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód no fornecedor";"Fornecedor";"Localização";"Estoque maximo";"Estoque minimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da embalagem";"Largura do Produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Unidade por Caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código da lista de serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de medida";"Preço de compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"15915541590";"MAK-DUR182LZ	";"Voltagem:18V";"UN";"";"0";"894,30";"0,00";"";"Ativo";"4,00";"0,00";"	";"";"";"0,00";"0,00";"4,400";"4,400";"	";"	";"29.00";"26.00";"185.00";"";"";"Aparador de Grama à Bateria 18V 3.0Ah Makita - DUR182LZ. Procurando por aparador de grama com o menor preço e a pronta entrega? Compre agora na loja 1ª Linha. Venha conferir!";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	MLB2162043451";"";"";"MAKITA";"";"0";" <br>CARACTERÍSTICAS: <br> <br>Função reversível. <br>Velocidade variável. <br>Controle eletrônico de velocidade. <br>Bloqueio do gatilho. <br>Indicador do nível da bateria. <br>Maior proteção contra água e poeira com a tecnologia XPT. <br> <br>ESPECIFICAÇÕES: <br> <br>Punho: D <br>Diâmetro de corte: 300mm <br>Rotações por minuto: 3.500 - 6.000 <br>Bateria: 18V 3.0Ah <br> <br>ITENS QUE ACOMPANHAM: <br> <br>Chaves, protetor universal, cabeçote de fio de nylon. Não acompanha bateria e carregador, este produ <br>para quem já tem ferramenta a bateria 18V LXT <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15916035189";"MAK-MLS100-220V	";"Voltagem:220V";"UN";"";"0";"2.103,96";"0,00";"";"Ativo";"2,00";"0,00";"	";"";"";"0,00";"0,00";"15,200";"15,200";"	";"	";"49.00";"52.00";"62.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	MLB2163411310";"";"";"MAKITA";"";"0";" <br>CARACTERÍSTICAS: <br> <br>Dupla isolação. <br>Freio instantâneo. <br>Corte chanfrado para esquerda/direita. <br>Adaptável a coletor/aspirador de pó. <br> <br>ESPECIFICAÇÕES: <br> <br>Capacidades <br>- 90º : 75 x 130mm <br>- 45º : 75 x 90mm <br>Rotações por min.: 4.200 <br>Emissão de vibrações: 2.5 m/s² <br>Incerteza K: 1.5m/s² <br> <br>ITENS QUE ACOMPANHAM: <br> <br>Chave fixa, coletor de pó, esquadro, anel de redução, morsa vertical e lâmina de serra. <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15915529485";"TLAC 50/Y	";"50 tampas Protetoras e Identificadores Amarelos SKF - TLAC 50/Y";"UN";"";"0";"175,00";"0,00";"";"Ativo";"18,00";"0,00";"	";"";"";"0,00";"0,00";"0,400";"0,400";"	";"	";"0.00";"0.00";"0.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"SKF";"";"0";" <br>50 tampas e identificadores amarelos + 2 folhas de etiquetas adesivas para impressão. <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15915535109";"TLAC 50/G	";"50 tampas Protetoras e Identificadores Verdes SKF - TLAC 50/G";"UN";"";"0";"175,00";"0,00";"";"Ativo";"19,00";"0,00";"	";"";"";"0,00";"0,00";"0,400";"0,400";"	";"	";"0.00";"0.00";"0.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"SKF";"";"0";" <br>50 tampas e identificadores verdes + 2 folhas de etiquetas adesivas para impressão. <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15915535386";"TLAC 50/R	";"50 tampas Protetoras e Identificadores Vermelhos SKF - TLAC 50/R";"UN";"";"0";"175,00";"0,00";"";"Ativo";"19,00";"0,00";"	";"";"";"0,00";"0,00";"0,400";"0,400";"	";"	";"0.00";"0.00";"0.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"SKF";"";"0";" <br>50 tampas e identificadores vermelhos + 2 folhas de etiquetas adesivas para impressão. <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917463256";"ADS	";"Adaptador Para Soquete 1/2"" - 3/4"" Stanley - 4-88-558";"UN";"";"0";"34,11";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,180";"0,180";"	";"	";"10.00";"10.00";"10.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"STANLEY";"";"0";" <br>Permite utilizar um acessório com tamanho de encaixe quadrado diferente do soquete; fabricada em aço <br>alta resistência; deve-se utilizar a junta universal com outras ferramentas manuais, como catracas r <br>soquetes. <br> <br>RECURSOS E BENEFÍCIOS: <br> <br>Permite Utilizar Um Acessório Com Tamanho De Encaixe Quadrado Diferente Do Soquete <br>Fabricada Em Aço Cromo Vanádio De Alta Resistência <br>Deve-Se Utilizar A Junta Universal Com Outras Ferramentas Manuais, Como Catracas Reversíveis Ou Cabo <br> <br>ESPECIFICAÇÕES DO PRODUTO : <br> <br>Utilizar Um Acessório Com <br>Tamanho De Encaixe Quadrado <br>Diferente Do Soquete. <br>Dirigir M: 3/4"" M <br>Dirigir F: 1/2"" F <br>Acabamento: Cromado <br>Comprimento Total: 42Mm <br>Material: Aço Cr-V <br>Conformidade / Padrão: Ansi B107.10M <br>Iso 3316 <br>Din 3123 <br> <br>INCLUI: <br> <br>Adaptador De 1/2"" - 3/4"" (42Mm) <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917460220";"ADS-3/4-1/2	";"Adaptador Para Soquete 3/4"" - 1/2"" Stanley - 88-908";"UN";"";"0";"51,64";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,180";"0,180";"	";"	";"10.00";"10.00";"10.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"STANLEY";"";"0";" <br>Permite utilizar um acessório com tamanho de encaixe quadrado diferente do soquete; fabricada em aço <br>alta resistência; deve-se utilizar a junta universal com outras ferramentas manuais, como catracas r <br>soquetes. <br> <br>RECURSOS E BENEFÍCIOS: <br> <br>- Permite Utilizar Um Acessório Com Tamanho De Encaixe Quadrado Diferente Do Soquete <br>- Fabricada Em Aço Cromo Vanádio De Alta Resistência <br>- Deve-Se Utilizar A Junta Universal Com Outras Ferramentas Manuais, Como Catracas Reversíveis Ou Ca <br> <br>ESPECIFICAÇÕES DO PRODUTO: <br> <br>- Utilizar Um Acessório Com <br>- Tamanho De Encaixe Quadrado <br>- Diferente Do Soquete. <br> <br>INCLUI: <br>- Adaptador De 3/4"" - 1/2"" (48Mm) <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917464984";"6814	";"Adaptador Para Soquete Com 3/4 X 1/2"" Gedore - 1908";"UN";"";"0";"99,40";"0,00";"";"Ativo";"2,00";"0,00";"	";"";"";"0,00";"0,00";"1,000";"1,000";"	";"	";"10.00";"10.00";"10.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"GEDORE";"";"0";"";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15916042597";"KING-9BK41-53	";"Alavanca para Desmontar Pneu 21"" King Tony - 9BK41-53";"UN";"";"0";"120,47";"0,00";"";"Ativo";"2,00";"0,00";"	";"";"";"0,00";"0,00";"0,920";"0,920";"	";"	";"10.00";"10.00";"30.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"KING TONY";"";"0";" <br>Alavanca com ponta chata para desmontar/remover pneus das rodas <br> <br>CARACTERÍSTICAS TÉCNICAS: <br> <br>- Fabricado em aço cromo-vanádio <br>- Acabamento fosfatizado <br> <br>APLICAÇÕES E SEGURANÇA: <br> <br>- Indicado para remover pneus das rodas <br> <br> <br> <br> <br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15917451531";"ALCOOLGEL-4KG	";"Álcool Gel 70º Nutriex - 4Kg";"UN";"";"0";"59,98";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"4,000";"4,000";"	";"	";"0.00";"0.00";"0.00";"";"";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"	";"";"";"NUTRIEX";"";"0";"Álcool Gel 70º Nutriex - 4Kg<br>";"";"	";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
